id;name;province;updated;eligible;turnout;turnout percentage;votes for;votes against;none of the above;percentage for;percentage against;percentage NOTA
882;Landgraaf;LI;2018-03-21 23:44:20;30236;15051;49.8;6322;8114;615;54.0;42.1;3.9
962;Schinnen;LI;2018-03-21 21:16:25;10393;3079;29.6;1361;1678;40;54.8;44.5;0.7
416;Langedijk;NH;2018-03-21 23:50:58;21459;11978;55.8;5870;5700;408;47.7;49.1;3.2
880;Wormerland;NH;2018-03-21 23:35:50;12694;7017;55.3;3122;3617;278;51.8;44.7;3.5
308;Baarn;UT;2018-03-21 23:15:03;19134;11257;58.8;5502;5287;468;47.1;49.0;3.9
1676;Schouwen-Duiveland;ZE;2018-03-22 00:01:10;27024;16955;62.7;9430;6834;691;40.5;55.9;3.6
79;Kollumerland c.a.;FR;2018-03-21 21:38:44;10011;2874;28.7;1181;1646;47;57.4;41.2;1.4
313;Bunschoten;UT;2018-03-21 23:44:29;15518;9696;62.5;5599;3654;443;37.8;57.9;4.3
302;Nunspeet;GE;2018-03-21 23:48:25;20721;14121;68.1;8189;5384;548;38.2;58.1;3.7
1735;Hof van Twente;OV;2018-03-21 23:14:56;27691;16435;59.4;8998;6561;876;40.0;54.9;5.1
824;Oisterwijk;NB;2018-03-22 00:04:33;20410;10692;52.4;5757;4402;533;41.4;54.1;4.5
17;Haren;GR;2018-03-21 21:33:53;15281;6266;41.0;2598;3555;113;56.9;41.6;1.5
388;Enkhuizen;NH;2018-03-21 23:46:16;14171;7274;51.3;3357;3651;266;50.4;46.3;3.3
677;Hulst;ZE;2018-03-21 23:25:12;20023;11237;56.1;5746;4961;530;44.4;51.4;4.2
545;Leerdam;ZH;2018-03-21 21:25:22;15922;3910;24.6;1798;2070;42;53.0;46.0;1.0
907;Gennep;LI;2018-03-21 23:43:27;13516;7163;53.0;3486;3278;399;45.9;48.8;5.3
80;Leeuwarden;FR;2018-03-21 21:13:26;95577;28829;30.2;10503;17926;400;62.3;36.5;1.2
501;Brielle;ZH;2018-03-21 23:49:39;13524;6952;51.4;3551;3135;266;45.3;51.3;3.4
279;Scherpenzeel;GE;2018-03-21 23:19:47;7212;4969;68.9;2955;1759;255;35.5;59.7;4.8
1706;Cranendonck;NB;2018-03-21 23:38:36;16019;8197;51.2;4365;3358;474;41.1;53.4;5.5
1842;Midden-Delfland;ZH;2018-03-21 23:09:27;14746;9416;63.9;5310;3662;444;39.0;56.6;4.4
629;Wassenaar;ZH;2018-03-22 00:39:27;17673;10883;61.6;6212;4271;400;39.3;57.2;3.5
611;Cromstrijen;ZH;2018-03-21 21:06:05;10310;3012;29.2;1513;1484;15;49.3;50.3;0.4
1641;Maasgouw;LI;2018-03-21 22:11:37;19517;9370;48.0;4705;4154;511;44.8;50.8;4.4
230;Elburg;GE;2018-03-21 23:28:53;17443;10911;62.6;6027;4353;531;40.0;55.4;4.6
184;Urk;FL;2018-03-21 23:42:35;13403;9485;70.8;4642;4480;363;47.3;49.0;3.7
788;Haaren;NB;2018-03-21 21:49:44;11343;5727;50.5;3187;2315;225;40.6;55.9;3.5
262;Lochem;GE;2018-03-22 00:14:37;26896;16437;61.1;8742;6855;840;42.0;53.5;4.5
376;Blaricum;NH;2018-03-21 23:30:03;8255;4910;59.5;2650;2060;200;42.1;54.2;3.7
275;Rheden;GE;2018-03-21 22:52:28;34804;18433;53.0;8422;9210;801;50.1;45.9;4.0
766;Dongen;NB;2018-03-21 23:45:45;20170;9851;48.8;5099;4297;455;43.8;51.9;4.3
946;Nederweert;LI;2018-03-21 23:49:24;13641;7731;56.7;4052;3152;527;40.9;52.6;6.5
542;Krimpen a/d IJssel;ZH;2018-03-22 00:00:33;22459;14383;64.0;7753;6075;555;42.4;54.1;3.5
34;Almere;FL;2018-03-22 00:09:40;146158;66153;45.3;26827;37290;2036;56.6;40.7;2.7
944;Mook en Middelaar;LI;2018-03-21 23:22:09;6266;3930;62.7;1753;1960;217;50.0;44.7;5.3
893;Bergen (L);LI;2018-03-22 00:12:39;10449;5299;50.7;2735;2290;274;43.4;51.8;4.8
417;Laren;NH;2018-03-21 23:48:04;8591;5542;64.5;2972;2372;198;43.0;53.9;3.1
589;Oudewater;UT;2018-03-21 23:33:36;7834;4914;62.7;2677;1958;279;40.0;54.6;5.4
1663;De Marne;GR;2018-03-21 20:54:43;8051;2347;29.2;898;1410;39;60.3;38.4;1.3
1771;Geldrop-Mierlo;NB;2018-03-22 00:04:38;31366;15182;48.4;7546;6933;703;45.8;49.8;4.4
273;Putten;GE;2018-03-21 23:21:00;18647;11568;62.0;6353;4728;487;41.0;55.0;4.0
281;Tiel;GE;2018-03-22 00:13:15;31198;14340;46.0;6172;7660;508;53.6;43.2;3.2
394;Haarlemmermeer;NH;2018-03-21 21:56:53;107677;34442;32.0;15497;18573;372;54.1;45.1;0.8
870;Werkendam;NB;2018-03-21 21:20:30;20778;4797;23.1;2504;2237;56;46.8;52.4;0.8
687;Middelburg;ZE;2018-03-21 23:19:07;37070;20717;55.9;10278;9409;1030;45.6;49.9;4.5
183;Tubbergen;OV;2018-03-21 23:38:28;16410;10192;62.1;6138;3414;640;33.6;60.4;6.0
340;Rhenen;UT;2018-03-21 23:23:24;15042;8934;59.4;4882;3646;406;40.9;54.8;4.3
1722;Ferwerderadiel;FR;2018-03-21 21:37:19;6608;1838;27.8;819;995;24;54.4;44.8;0.8
119;Meppel;DR;2018-03-21 22:31:37;25833;14932;57.8;6987;7344;601;49.4;47.0;3.6
689;Giessenlanden;ZH;2018-03-21 21:14:40;11257;3927;34.9;2214;1658;55;42.3;56.5;1.2
