id;name;province;updated;eligible;turnout;turnout percentage;votes for;votes against;none of the above;percentage for;percentage against;percentage NOTA
236;Geldermalsen;GE;2018-03-21 22:59:10;20434;7215;35.3;3440;3667;108;50.9;47.8;1.3
25;Marum;GR;2018-03-21 21:08:04;8260;2316;28.0;986;1300;30;56.2;42.6;1.2
770;Eersel;NB;2018-03-21 23:14:26;15231;7860;51.6;4516;2943;401;37.6;57.7;4.7
716;Tholen;ZE;2018-03-21 23:05:00;19280;11942;61.9;6971;4539;432;39.4;60.4;0.2
881;Onderbanken;LI;2018-03-21 20:52:44;6306;1620;25.7;665;948;7;58.5;41.0;0.5
399;Heiloo;NH;2018-03-21 23:59:50;18255;11331;62.1;5542;5291;498;46.8;49.0;4.2
213;Brummen;GE;2018-03-22 00:09:48;16770;8637;51.5;4173;4103;361;47.7;48.5;3.8
575;Noordwijk;ZH;2018-03-21 21:34:51;19914;6232;31.3;3067;3105;60;50.0;49.3;0.7
56;Zuidhorn;GR;2018-03-21 20:45:25;14307;5377;37.6;2222;3057;98;57.0;41.4;1.6
579;Oegstgeest;ZH;2018-03-21 22:18:45;17200;11072;64.4;5570;5008;494;45.4;50.5;4.1
